Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
26-06-2000,247808.5516,246779.4031,181615.6074,254637.8087,636441.5516,240192.6977,221017.7377,752379.4719,63385.55737,85671.16842
27-06-2000,246990.7833,248605.5707,182124.1311,252244.2133,624412.8063,239255.9462,227073.6237,751852.8063,61566.39187,85851.07787
28-06-2000,247632.9594,250122.0646,183490.062,250907.319,634778.0589,238394.6248,225529.5231,758168.3698,63007.04544,86022.78003
29-06-2000,247360.5631,251572.7726,181600.1144,250305.1414,622971.187,236392.1099,223229.122,772194.4847,62358.07287,85867.93902
30-06-2000,245826.9276,246742.5754,185904.0371,244898.5504,636178.1762,236604.8628,228876.8187,782541.8908,60905.12977,84116.23307
03-07-2000,248285.1969,253922.7843,188636.8265,247837.333,640376.9521,242330.7005,229105.6956,780742.0444,62165.86596,85218.15572
05-07-2000,249377.6518,254684.5527,186278.8661,236684.653,612776.7055,241264.4454,228074.7199,791750.5072,61600.15658,85277.80843
06-07-2000,250001.0959,259447.1538,185701.4016,240163.9174,624419.4629,241143.8132,231723.9155,787158.3543,62031.35768,85977.08646
07-07-2000,249576.094,258149.918,186834.1802,241124.573,636907.8521,243434.6794,242452.7327,788968.8185,62471.78032,87266.74276
10-07-2000,247055.3755,263003.1365,187170.4817,239846.6128,630602.4644,240391.7459,245701.5994,800093.2789,63477.57598,87598.35638
11-07-2000,244214.2387,264370.7528,190202.6435,249800.2472,625809.8857,238252.2594,247470.6509,805053.8572,63972.70107,88097.66701
12-07-2000,243725.8102,267516.7648,190468.9272,245104.0026,648714.5275,241754.5676,246381.78,793541.587,63793.57751,89146.02925
13-07-2000,245919.3425,267650.5232,191116.5216,242947.0874,666813.6628,245961.0971,242439.6715,761006.382,63812.71558,89012.3102
14-07-2000,246288.2215,266954.6318,191957.4343,241780.9413,680416.6615,247707.4209,244573.1406,749362.9843,63812.71558,90222.87762
17-07-2000,244219.4004,265299.5131,192168.5874,239943.4062,686948.6615,241564.2768,244255.1956,766673.2693,63908.43465,89609.36205
18-07-2000,246221.9995,267581.0889,190496.7207,241119.1289,668675.8271,239945.7962,242814.0899,762073.2296,63857.30791,88632.62001
19-07-2000,250777.1065,267875.4281,189201.343,241360.248,651022.7853,239153.975,241162.9541,748432.1188,64725.76729,88437.62824
20-07-2000,250125.086,265303.824,189068.9021,238729.4213,670358.162,239680.1138,241548.8148,741022.6409,64531.58999,90445.1624
21-07-2000,248174.1104,262889.5592,188085.7438,233620.6117,651454.0618,238745.3613,240027.0573,747617.7424,64157.30677,89730.64562
24-07-2000,244873.3947,261943.1568,186392.9721,229111.7339,634907.1286,232036.6167,235058.4972,759729.1498,63721.03708,89210.20788
25-07-2000,246195.711,262467.0431,188946.5558,226889.3501,642716.4863,235238.722,235787.1785,738608.6794,64230.80538,89914.96852
26-07-2000,244103.0475,259396.1787,186830.3544,228477.5755,632497.2942,230275.185,234914.766,732995.2535,63498.5742,88584.22699
27-07-2000,246373.2058,258695.809,185447.8098,238736.2187,610802.637,223436.012,236958.5244,743330.4865,64000.21294,89230.89184
28-07-2000,248541.29,255487.981,182925.7196,238879.4604,586981.3342,216531.8392,231840.2203,737606.8418,63718.612,87428.42783
31-07-2000,247621.6873,258451.6415,183236.6933,238330.0376,603299.4152,219953.0423,226067.3988,731779.7477,63253.46613,88634.94013
01-08-2000,250840.7692,261708.1322,184977.4419,239640.8528,589544.1886,220876.845,227898.5448,759660.5561,64784.20001,89468.10857
02-08-2000,252069.889,260792.1538,185624.8629,246135.12,585535.2881,220766.4066,229767.3128,766497.5011,65762.44143,89190.75743
03-08-2000,252145.5099,267233.72,183879.9892,243230.7255,600876.3126,222113.0817,227216.8957,771479.7349,66755.4543,90484.02341
04-08-2000,252372.4409,268810.3989,184339.6892,244325.2638,604121.0447,222801.6322,228103.0415,768856.7038,67109.25821,92899.94684
